name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
gam Psc b,Confirmed,1.34,0.31,0.31,1.34,0.31,0.31,,,,555.1,2.5,2.5,1.32,0.08,0.08,0.2,0.14,0.14,,,,,2021,2021-12-17,44.0,56.0,56.0,2455394.6,64.0,64.0,,,,,,,,,,,,,,,,,,,34.0,5.0,5.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,gam Psc,349.29166667,3.28222224,,,,,,,,,,,,,,,,,,G9 III,,,,,,,,,
GJ 1002 b,Confirmed,0.0034,0.00041,0.00041,0.0034,0.00041,0.00041,,,,10.3465,0.0027,0.0027,0.0457,0.0012,0.0012,,,,,,,,2022,2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 1002,1.679166681,-7.53805557,14.0,,,,,4.846,0.001,0.001,,,,,,,,,,M5.5V,,,,,,,,,
GJ 1002 c,Confirmed,0.00428,0.00053,0.00053,0.00428,0.00053,0.00053,,,,20.202,0.013,0.013,0.0738,0.0021,0.0021,,,,,,,,2022,2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 1002,1.679166681,-7.53805557,14.0,,,,,4.846,0.001,0.001,,,,,,,,,,M5.5V,,,,,,,,,
GJ 1061 b,Confirmed,0.00453,0.00053,0.00053,0.00453,0.00053,0.00053,,,,3.204,0.001,0.001,0.021,0.001,0.001,0.31,0.31,0.31,,,,,2019,2019-08-14,145.0,65.0,65.0,2458300.61,0.72,0.72,,,,,,,,,,,,,,,,,,,2.54,0.25,0.25,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,L 372-58 b,,GJ 1061,54.0,-44.512777798,13.0,,,,,3.6732,9e-05,9e-05,-0.08,0.08,0.08,0.12,0.01,0.01,0.156,0.005,0.005,M5.5V,7.0,0.5,0.5,2953.0,98.0,98.0,,,L 372-58
GJ 1061 c,Confirmed,0.00547,0.0006,0.0006,0.00547,0.0006,0.0006,,,,6.689,0.005,0.005,0.035,0.001,0.001,0.29,0.29,0.29,,,,,2019,2023-07-20,88.0,85.0,85.0,2458300.2,1.5,1.5,,,,,,,,,,,,,,,,,,,2.39,0.24,0.24,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"L 372-58 c, MWC 758 c",,GJ 1061,54.0,-44.512777798,13.0,,,,,3.6732,9e-05,9e-05,-0.08,0.08,0.08,0.12,0.01,0.01,0.156,0.005,0.005,M5.5V,7.0,0.5,0.5,2953.0,98.0,98.0,,,L 372-58
GJ 1061 d,Confirmed,0.00494,0.00079,0.00079,0.00494,0.00079,0.00079,,,,12.434,0.023,0.023,0.052,0.001,0.001,0.54,0.54,0.54,,,,,2019,2019-08-14,278.0,214.0,214.0,2458308.0,2.4,2.4,,,,,,,,,,,,,,,,,,,1.76,0.28,0.28,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,L 372-58 d,,GJ 1061,54.0,-44.512777798,13.0,,,,,3.6732,9e-05,9e-05,-0.08,0.08,0.08,0.12,0.01,0.01,0.156,0.005,0.005,M5.5V,7.0,0.5,0.5,2953.0,98.0,98.0,,,L 372-58
GJ 1132 c,Confirmed,0.00831,0.00138,0.00138,0.00831,0.00138,0.00138,,,,8.929,0.01,0.01,0.0476,0.0017,0.0017,0.27,0.27,0.27,,,,,2018,2019-06-26,,,,,,,,,,,,,,,,,,,,,,,,,2.57,0.39,0.39,579.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 1132,153.716666684,-47.156666675,13.5,,,,,12.04,0.24,0.24,-0.12,0.15,0.15,0.181,0.019,0.019,0.207,0.016,0.016,M3.5,5.0,0.0,0.0,3270.0,140.0,140.0,,,
GJ 1265 b,Confirmed,0.0233,0.0016,0.0016,0.0233,0.0016,0.0016,,,,3.6511,0.0012,0.0012,0.026,0.001,0.001,0.04,0.04,0.04,,,,,2018,2018-10-18,282.0,72.0,72.0,,,,,,,,,,,,,,,,,,,,,,9.89,0.47,0.47,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,LP 819-052,,GJ 1265,333.429166681,-17.685555571,13.7,,,,,10.255,0.007,0.007,-0.04,0.16,0.16,0.178,0.018,0.018,0.192,0.007,0.007,M4.5V,,,,3236.0,51.0,51.0,,,
GJ 15A b,Confirmed,0.00953,0.00138,0.00138,0.00953,0.00138,0.00138,,,,11.4407,0.0016,0.0016,0.072,0.004,0.004,0.094,0.065,0.065,,,,,2014,2020-03-29,60.0,-20.0,-20.0,2456995.86,,,,,,,,,,,,,,,,,,,,,1.68,0.18,0.18,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 1326A b,,GJ 15A,4.59535550763,44.0229522831,8.08,,,,,3.587,,,-0.32,,,0.375,,,0.3863,,,M2V,,,,3567.0,,,,,"HD 1326A, HIP 1475, GX Andromedae, Groombridge 34, M2"
GJ 15A c,Confirmed,0.113,0.016,0.016,0.113,0.016,0.016,,,,7555.0,1700.0,1700.0,5.4,0.9,0.9,0.27,0.19,0.19,,,,,2018,2022-06-12,300.0,240.0,240.0,2460730.0,1690.0,1690.0,,,,,,,,,,,,,,,,,,,2.5,1.0,1.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 1326A c,,GJ 15A,4.59535550763,44.0229522831,8.08,,,,,3.587,,,-0.32,,,0.375,,,0.3863,,,M2V,,,,3567.0,,,,,"HD 1326A, HIP 1475, GX Andromedae, Groombridge 34, M2"
GJ 160.2 b,Confirmed,0.0245,0.0098,0.0098,0.0245,0.0098,0.0098,,,,9.7471,0.005,0.005,0.079,0.009,0.009,0.02,0.22,0.22,,,,,2014,2019-06-14,355.23,,,,,,,,,,,,,,,,,,,,,,,,3.01,1.07,1.07,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 160.2,61.6451726813197,-20.853118328223,9.675,,,,,,,,,,,0.69,,,,,,M0V,,,,4347.0,,,,,
GJ 163 b,Confirmed,0.0311,0.0072,0.0072,0.0311,0.0072,0.0072,,,,8.6312,0.0023,0.0023,0.06,0.006,0.006,0.02,0.02,0.02,,,,,2012,2019-06-14,74.73,15.7,15.7,,,,,,,,,,,,,,,,,,,,,,5.94,0.75,0.75,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 163,62.3167,-53.3736,11.8,,,,,15.0,0.4,0.4,,,,0.4,,,,,,M3.5,3.0,2.0,2.0,,,,,,
