name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
KMT-2019-BLG-1953L b,Confirmed,0.59,0.32,0.32,,,,,,,,,,0.8,0.6,0.6,,,,,,,,2020,2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2019-BLG-1953,269.116666676,-28.201111116,,,,,,7040.0,1330.0,1330.0,,,,0.31,0.17,0.17,,,,,,,,,,,,,
KMT-2019-BLG-1953L c,Confirmed,0.28,0.15,0.15,,,,,,,,,,0.8,0.7,0.7,,,,,,,,2020,2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2019-BLG-1953,269.116666676,-28.201111116,,,,,,7040.0,1330.0,1330.0,,,,0.31,0.17,0.17,,,,,,,,,,,,,
KMT-2019-BLG-2073,Confirmed,0.186,,,,,,,,,,,,,,,,,,,,,,2020,2020-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Microlensing,Microlensing,,,,,267.47116668436,-29.5881389044,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2019-BLG-2783 b,Confirmed,1.16,0.77,0.77,,,,,,,,,,1.85,0.93,0.93,,,,,,,,2023,2023-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-219:BLG-2783,269.29166667,-33.788611131,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2019-BLG-2974 b,Confirmed,0.28,0.18,0.18,,,,,,,,,,2.0,0.7,0.7,,,,,,,,2022,2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2019-BLG-2974,267.854166675,-29.423055569,,,,,,6100.0,2100.0,2100.0,,,,0.47,0.28,0.28,,,,,,,,,,,,,
KMT-2020-BLG-0414 b,Confirmed,0.00381,0.00069,0.00069,,,,,,,,,,1.79,0.28,0.28,,,,,,,,2021,2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2020-BLG-0414,271.91666668,-28.485277789,,,,,,1220.0,230.0,230.0,,,,0.364,0.057,0.057,,,,,,,,,,,,,
KMT-2020-BLG-0414 c,Confirmed,23.3,3.9,3.9,,,,,,,,,,0.16,0.03,0.03,,,,,,,,,2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2020-BLG-0414,271.91666668,-28.485277789,,,,,,1220.0,230.0,230.0,,,,0.364,0.057,0.057,,,,,,,,,,,,,
KMT-2021-BLG-0119 b,Confirmed,5.7,3.0,3.0,,,,,,,,,,3.0,0.8,0.8,,,,,,,,2022,2022-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-0119,274.0,-29.743888912,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2021-BLG-0171L b,Confirmed,0.0352,0.0142,0.0142,,,,,,,,,,3.5,1.0,1.0,,,,,,,,2022,2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-0171L,269.241666686,-30.093055565,,,,,,4600.0,1100.0,1100.0,,,,0.78,0.29,0.29,,,,,,,,,,,,,
KMT-2021-BLG-0192 b,Confirmed,0.15,0.1,0.1,,,,,,,,,,2.6,1.3,1.3,,,,,,,,2022,2022-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-0192,268.104166675,-30.008611118,,,,,,3000.0,1800.0,1800.0,,,,0.4,0.2,0.2,,,,,,,,,,,,,
KMT-2021-BLG-0240 b,Confirmed,0.4,0.08,0.08,,,,,,,,,,2.6,3.0,3.0,,,,,,,,2022,2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-0240,267.579166673,-30.005000004,,,,,,7000.0,1500.0,1500.0,,,,0.47,0.24,0.24,,,,,,,,,,,,,
