# date   flux    error
2456841.155597 1.0000903 0.00010158
2456841.176029 0.9999007 0.00010158
2456841.196461 0.9999083 0.00010158
2456841.257756 0.9999576 0.00010251
2456841.278188 1.0000859 0.00010251
2456841.298619 1.0001061 0.00010287
2456841.319051 1.0000908 0.00010287
2456841.339483 1.0000485 0.00010287
2456841.359915 1.0001055 0.00010287
2456841.380346 1.0001219 0.00010287
2456841.400778 0.9999646 0.00010287
2456841.421210 1.0000720 0.00010287
2456841.441642 1.0001352 0.00010287
2456841.523369 1.0000139 0.00010287
2456841.543800 0.9999668 0.00010287
2456841.564232 1.0000340 0.00010287
2456841.584664 0.9998969 0.00010287
2456841.605096 1.0001252 0.00010287
2456841.625527 1.0000485 0.00010287
2456841.645959 0.9999814 0.00010287
2456841.666391 1.0002096 0.00010287
2456841.686823 0.9997587 0.00010287
2456841.707254 0.9997663 0.00010287
2456841.727686 1.0000472 0.00010287
2456841.748118 0.9996447 0.00010287
2456841.768550 1.0000431 0.00010287
2456841.788981 0.9999177 0.00010287
2456841.809413 1.0000187 0.00010287
2456841.829845 0.9999384 0.00010287
2456841.850277 1.0000112 0.00010287
2456841.870708 0.9999189 0.00010287
2456841.891140 1.0000186 0.00010287
2456841.911572 1.0001544 0.00010287
2456841.932004 0.9999555 0.00010287
2456841.952436 0.9998854 0.00010287
2456841.972867 0.9999047 0.00010287
2456841.993299 0.9997230 0.00010287
2456842.013731 0.9997943 0.00010287
2456842.034162 1.0000634 0.00010287
2456842.054594 1.0000815 0.00010287
2456842.075026 0.9997111 0.00010287
2456842.095458 0.9997525 0.00010287
2456842.115889 0.9998198 0.00010287
2456842.136321 0.9998527 0.00010287
2456842.156753 0.9998013 0.00010287
2456842.238480 0.9999193 0.00010287
2456842.258912 0.9999468 0.00010304
2456842.279343 1.0000161 0.00010304
2456842.299775 0.9999323 0.00010298
2456842.320207 0.9999569 0.00010298
2456842.340639 1.0000306 0.00010298
2456842.361070 0.9999809 0.00010298
2456842.381502 0.9999030 0.00010298
2456842.401934 1.0000642 0.00010298
2456842.422366 1.0001658 0.00010298
2456842.442797 0.9998359 0.00010298
2456842.463229 0.9999918 0.00010298
2456842.483661 0.9997965 0.00010298
2456842.504093 0.9998649 0.00010298
2456842.524524 1.0000611 0.00010298
2456842.544956 1.0001302 0.00010298
2456842.565388 0.9998333 0.00010298
2456842.585820 0.9999160 0.00010298
2456842.606251 1.0000982 0.00010298
2456842.626683 0.9999569 0.00010298
2456842.647115 0.9998840 0.00010298
2456842.667547 0.9999371 0.00010298
2456842.687978 0.9998034 0.00010298
2456842.708410 0.9999958 0.00010298
2456842.728842 0.9999433 0.00010298
2456842.749274 0.9999434 0.00010298
2456842.769705 0.9997425 0.00010298
2456842.790137 0.9999300 0.00010298
2456842.810569 0.9998393 0.00010298
2456842.831000 0.9997759 0.00010298
