BJD - 2454833, Corrected Flux
1980.082097892, 1.000495476,
1980.102530092, 1.000441032,
1980.122962392, 1.000595150,
1980.143394491, 1.000485906,
1980.163826690, 1.000534090,
1980.184258989, 1.000572981,
1980.204691186, 1.000517087,
1980.225123284, 1.000574159,
1980.245555581, 1.000429296,
1980.265987778, 1.000397030,
1980.286419874, 1.000672444,
1980.306852169, 1.000495959,
1980.327284365, 1.000404121,
1980.347716460, 1.000422302,
1980.368148754, 0.999862380,
1980.388580948, 0.999256894,
1980.409013041, 0.998863492,
1980.429445334, 0.998945169,
1980.449877527, 0.999014576,
1980.470309719, 0.999986944,
1980.490741910, 1.000464113,
1980.511174102, 1.000424620,
1980.531606393, 1.000514504,
1980.552038483, 1.000521236,
1980.572470673, 1.000464700,
1980.592902962, 1.000432352,
1980.613335051, 1.000397321,
1980.633767240, 1.000617794,
1980.654199528, 1.000471045,
1980.674631616, 1.000533110,
1980.695063803, 1.000285797,
1980.715496089, 1.000390094,
1980.756360361, 1.000289279,
1980.776792647, 1.000431760,
1980.797224732, 1.000293627,
1980.817656916, 1.000355678,
1980.838089200, 1.000727285,
1980.858521284, 1.000219631,
1980.878953467, 1.000220675,
1980.899385750, 1.000266050,
1980.919817832, 1.000369012,
1980.940250014, 1.000308912,
1980.960682295, 1.000303100,
1980.981114376, 1.000252962,
1981.042411016, 1.000024024,
1981.062843196, 1.000115406,
1981.083275374, 1.000298018,
1981.103707553, 1.000353187,
1981.124139731, 1.000428569,
1981.144571908, 1.000417951,
1981.165004085, 1.000326674,
1981.185436361, 1.000301216,
1981.205868437, 1.000222803,
1981.226300613, 1.000243349,
1981.246732889, 1.000199908,
1981.267164963, 1.000294492,
1981.287597137, 1.000337392,
1981.308029411, 1.000303921,
1981.328461485, 1.000404300,
1981.348893658, 1.000127838,
1981.369325930, 1.000196179,
1981.389758002, 1.000047882,
1981.410190174, 1.000188122,
1981.430622345, 1.000142753,
1981.451054516, 1.000155115,
1981.471486786, 1.000098264,
1981.594079800, 1.000338754,
1981.614511967, 1.000256376,
1981.634944034, 1.000276856,
1981.655376300, 1.000361648,
1981.675808466, 1.000357650,
1981.696240532, 1.000293496,
1981.716672797, 1.000431368,
1981.737104961, 1.000433659,
1981.757537025, 1.000222661,
1981.777969289, 1.000290520,
1981.798401453, 1.000250373,
1981.818833516, 1.000276092,
1981.839265778, 1.000351021,
1981.859697940, 1.000321478,
1981.880130102, 1.000234006,
1981.900562263, 1.000296398,
1981.920994423, 1.000395365,
